N,M,V,J/V_final,T,Status
3,5,-1,0.0,7,Missing
3,5,-1,0.0,8,Missing
3,5,-1,0.0,9,Missing
3,5,-1,0.0,10,Missing
3,5,1,0.0,1,Missing
3,5,1,0.0,2,Missing
3,5,1,0.0,3,Missing
3,5,1,0.0,4,Missing
3,5,1,0.0,5,Missing
3,5,1,0.0,6,Missing
3,5,1,0.0,7,Missing
3,5,1,0.0,8,Missing
3,5,1,0.0,9,Missing
3,5,1,0.0,10,Missing
4,2,-1,0.0,1,Missing
4,2,-1,0.0,2,Missing
4,2,-1,0.0,3,Missing
4,2,-1,0.0,4,Missing
4,2,-1,0.0,5,Missing
4,2,-1,0.0,6,Missing
4,2,-1,0.0,7,Missing
4,2,-1,0.0,8,Missing
4,2,-1,0.0,9,Missing
4,2,-1,0.0,10,Missing
4,2,1,0.0,1,Missing
4,2,1,0.0,2,Missing
4,2,1,0.0,3,Missing
4,2,1,0.0,4,Missing
4,2,1,0.0,5,Missing
4,2,1,0.0,6,Missing
4,2,1,0.0,7,Missing
4,2,1,0.0,8,Missing
4,2,1,0.0,9,Missing
4,2,1,0.0,10,Missing
4,3,-1,0.0,1,Completed
4,3,-1,0.0,2,Completed
4,3,-1,0.0,3,Completed
4,3,-1,0.0,4,Completed
4,3,-1,0.0,5,Completed
4,3,-1,0.0,6,Completed
4,3,-1,0.0,7,Completed
4,3,-1,0.0,8,Completed
4,3,-1,0.0,9,Completed
4,3,-1,0.0,10,Completed
4,3,1,0.0,1,Completed
4,3,1,0.0,2,Completed
4,3,1,0.0,3,Completed
4,3,1,0.0,4,Completed
4,3,1,0.0,5,Completed
4,3,1,0.0,6,Completed
4,3,1,0.0,7,Completed
4,3,1,0.0,8,Completed
4,3,1,0.0,9,Completed
4,3,1,0.0,10,Completed
4,4,-1,0.0,1,Missing
4,4,-1,0.0,2,Missing
4,4,-1,0.0,3,Missing
4,4,-1,0.0,4,Missing
4,4,-1,0.0,5,Missing
4,4,-1,0.0,6,Missing
4,4,-1,0.0,7,Missing
4,4,-1,0.0,8,Missing
4,4,-1,0.0,9,Missing
4,4,-1,0.0,10,Missing
4,4,1,0.0,1,Missing
4,4,1,0.0,2,Missing
4,4,1,0.0,3,Missing
4,4,1,0.0,4,Missing
4,4,1,0.0,5,Missing
4,4,1,0.0,6,Missing
4,4,1,0.0,7,Missing
4,4,1,0.0,8,Missing
4,4,1,0.0,9,Missing
4,4,1,0.0,10,Missing
4,5,-1,0.0,1,Missing
4,5,-1,0.0,2,Missing
4,5,-1,0.0,3,Missing
4,5,-1,0.0,4,Missing
4,5,-1,0.0,5,Missing
4,5,-1,0.0,6,Missing
4,5,-1,0.0,7,Missing
4,5,-1,0.0,8,Missing
4,5,-1,0.0,9,Missing
4,5,-1,0.0,10,Missing
4,5,1,0.0,1,Missing
4,5,1,0.0,2,Missing
4,5,1,0.0,3,Missing
4,5,1,0.0,4,Missing
4,5,1,0.0,5,Missing
4,5,1,0.0,6,Missing
4,5,1,0.0,7,Missing
4,5,1,0.0,8,Missing
4,5,1,0.0,9,Missing
4,5,1,0.0,10,Missing
5,2,-1,0.0,1,Missing
5,2,-1,0.0,2,Missing
5,2,-1,0.0,3,Missing
5,2,-1,0.0,4,Missing
5,2,-1,0.0,5,Missing
5,2,-1,0.0,6,Missing
5,2,-1,0.0,7,Missing
5,2,-1,0.0,8,Missing
5,2,-1,0.0,9,Missing
5,2,-1,0.0,10,Missing
5,2,1,0.0,1,Missing
5,2,1,0.0,2,Missing
5,2,1,0.0,3,Missing
5,2,1,0.0,4,Missing
5,2,1,0.0,5,Missing
5,2,1,0.0,6,Missing
5,2,1,0.0,7,Missing
5,2,1,0.0,8,Missing
5,2,1,0.0,9,Missing
5,2,1,0.0,10,Missing
5,3,-1,0.0,1,Completed
5,3,-1,0.0,2,Completed
5,3,-1,0.0,3,Completed
5,3,-1,0.0,4,Completed
5,3,-1,0.0,5,Completed
5,3,-1,0.0,6,Completed
5,3,-1,0.0,7,Completed
5,3,-1,0.0,8,Completed
5,3,-1,0.0,9,Missing
5,3,-1,0.0,10,Missing
5,3,1,0.0,1,Completed
5,3,1,0.0,2,Completed
5,3,1,0.0,3,Completed
5,3,1,0.0,4,Missing
5,3,1,0.0,5,Missing
5,3,1,0.0,6,Missing
5,3,1,0.0,7,Missing
5,3,1,0.0,8,Missing
5,3,1,0.0,9,Missing
5,3,1,0.0,10,Missing
5,4,-1,0.0,1,Missing
5,4,-1,0.0,2,Missing
5,4,-1,0.0,3,Missing
5,4,-1,0.0,4,Missing
5,4,-1,0.0,5,Missing
5,4,-1,0.0,6,Missing
5,4,-1,0.0,7,Missing
5,4,-1,0.0,8,Missing
5,4,-1,0.0,9,Missing
5,4,-1,0.0,10,Missing
5,4,1,0.0,1,Missing
5,4,1,0.0,2,Missing
5,4,1,0.0,3,Missing
5,4,1,0.0,4,Missing
5,4,1,0.0,5,Missing
5,4,1,0.0,6,Missing
5,4,1,0.0,7,Missing
5,4,1,0.0,8,Missing
5,4,1,0.0,9,Missing
5,4,1,0.0,10,Missing
5,5,-1,0.0,1,Missing
5,5,-1,0.0,2,Missing
5,5,-1,0.0,3,Missing
5,5,-1,0.0,4,Missing
5,5,-1,0.0,5,Missing
5,5,-1,0.0,6,Missing
5,5,-1,0.0,7,Missing
5,5,-1,0.0,8,Missing
5,5,-1,0.0,9,Missing
5,5,-1,0.0,10,Missing
5,5,1,0.0,1,Missing
5,5,1,0.0,2,Missing
5,5,1,0.0,3,Missing
5,5,1,0.0,4,Missing
5,5,1,0.0,5,Missing
5,5,1,0.0,6,Missing
5,5,1,0.0,7,Missing
5,5,1,0.0,8,Missing
5,5,1,0.0,9,Missing
5,5,1,0.0,10,Missing
2,2,-1,0.5,1,Completed
2,2,-1,0.5,2,Completed
2,2,-1,0.5,3,Completed
2,2,-1,0.5,4,Completed
2,2,-1,0.5,5,Completed
2,2,-1,0.5,6,Completed
2,2,-1,0.5,7,Completed
2,2,-1,0.5,8,Completed
2,2,-1,0.5,9,Completed
2,2,-1,0.5,10,Completed
2,2,1,0.5,1,Completed
2,2,1,0.5,2,Completed
2,2,1,0.5,3,Completed
2,2,1,0.5,4,Completed
2,2,1,0.5,5,Completed
2,2,1,0.5,6,Completed
2,2,1,0.5,7,Completed
2,2,1,0.5,8,Completed
2,2,1,0.5,9,Completed
2,2,1,0.5,10,Completed
2,3,-1,0.5,1,Completed
2,3,-1,0.5,2,Completed
2,3,-1,0.5,3,Completed
2,3,-1,0.5,4,Completed
2,3,-1,0.5,5,Completed
2,3,-1,0.5,6,Completed
2,3,-1,0.5,7,Completed
2,3,-1,0.5,8,Completed
2,3,-1,0.5,9,Completed
2,3,-1,0.5,10,Completed
2,3,1,0.5,1,Completed
2,3,1,0.5,2,Completed
2,3,1,0.5,3,Completed
2,3,1,0.5,4,Completed
2,3,1,0.5,5,Completed
2,3,1,0.5,6,Completed
2,3,1,0.5,7,Completed
2,3,1,0.5,8,Completed
2,3,1,0.5,9,Completed
2,3,1,0.5,10,Completed
2,4,-1,0.5,1,Completed
2,4,-1,0.5,2,Completed
2,4,-1,0.5,3,Completed
2,4,-1,0.5,4,Completed
2,4,-1,0.5,5,Completed
2,4,-1,0.5,6,Completed
2,4,-1,0.5,7,Completed
2,4,-1,0.5,8,Completed
2,4,-1,0.5,9,Completed
2,4,-1,0.5,10,Completed
2,4,1,0.5,1,Completed
2,4,1,0.5,2,Completed
2,4,1,0.5,3,Completed
2,4,1,0.5,4,Completed
2,4,1,0.5,5,Completed
2,4,1,0.5,6,Completed
2,4,1,0.5,7,Completed
2,4,1,0.5,8,Completed
2,4,1,0.5,9,Completed
2,4,1,0.5,10,Completed
2,5,-1,0.5,1,Missing
2,5,-1,0.5,2,Missing
2,5,-1,0.5,3,Missing
2,5,-1,0.5,4,Missing
2,5,-1,0.5,5,Missing
2,5,-1,0.5,6,Missing
2,5,-1,0.5,7,Missing
2,5,-1,0.5,8,Missing
2,5,-1,0.5,9,Missing
2,5,-1,0.5,10,Missing
2,5,1,0.5,1,Missing
2,5,1,0.5,2,Missing
2,5,1,0.5,3,Missing
2,5,1,0.5,4,Missing
2,5,1,0.5,5,Missing
2,5,1,0.5,6,Missing
2,5,1,0.5,7,Missing
2,5,1,0.5,8,Missing
2,5,1,0.5,9,Missing
2,5,1,0.5,10,Missing
3,2,-1,0.5,1,Completed
3,2,-1,0.5,2,Completed
3,2,-1,0.5,3,Completed
3,2,-1,0.5,4,Completed
3,2,-1,0.5,5,Completed
3,2,-1,0.5,6,Completed
3,2,-1,0.5,7,Completed
3,2,-1,0.5,8,Completed
3,2,-1,0.5,9,Completed
3,2,-1,0.5,10,Completed
3,2,1,0.5,1,Completed
3,2,1,0.5,2,Completed
3,2,1,0.5,3,Completed
3,2,1,0.5,4,Completed
3,2,1,0.5,5,Completed
3,2,1,0.5,6,Completed
3,2,1,0.5,7,Completed
3,2,1,0.5,8,Completed
3,2,1,0.5,9,Completed
3,2,1,0.5,10,Completed
3,3,-1,0.5,1,Completed
3,3,-1,0.5,2,Completed
3,3,-1,0.5,3,Completed
3,3,-1,0.5,4,Completed
3,3,-1,0.5,5,Completed
3,3,-1,0.5,6,Completed
3,3,-1,0.5,7,Completed
3,3,-1,0.5,8,Completed
3,3,-1,0.5,9,Completed
3,3,-1,0.5,10,Completed
3,3,1,0.5,1,Completed
3,3,1,0.5,2,Completed
3,3,1,0.5,3,Completed
3,3,1,0.5,4,Completed
3,3,1,0.5,5,Completed
3,3,1,0.5,6,Completed
3,3,1,0.5,7,Completed
3,3,1,0.5,8,Completed
3,3,1,0.5,9,Completed
3,3,1,0.5,10,Completed
3,4,-1,0.5,1,Completed
3,4,-1,0.5,2,Completed
3,4,-1,0.5,3,Completed
3,4,-1,0.5,4,Completed
3,4,-1,0.5,5,Completed
3,4,-1,0.5,6,Completed
3,4,-1,0.5,7,Completed
3,4,-1,0.5,8,Completed
3,4,-1,0.5,9,Completed
3,4,-1,0.5,10,Completed
3,4,1,0.5,1,Completed
3,4,1,0.5,2,Completed
3,4,1,0.5,3,Completed
3,4,1,0.5,4,Completed
3,4,1,0.5,5,Completed
3,4,1,0.5,6,Completed
3,4,1,0.5,7,Completed
3,4,1,0.5,8,Completed
3,4,1,0.5,9,Completed
3,4,1,0.5,10,Completed
3,5,-1,0.5,1,Missing
3,5,-1,0.5,2,Missing
3,5,-1,0.5,3,Missing
3,5,-1,0.5,4,Missing
3,5,-1,0.5,5,Missing
3,5,-1,0.5,6,Missing
3,5,-1,0.5,7,Missing
3,5,-1,0.5,8,Missing
3,5,-1,0.5,9,Missing
3,5,-1,0.5,10,Missing
3,5,1,0.5,1,Missing
3,5,1,0.5,2,Missing
3,5,1,0.5,3,Missing
3,5,1,0.5,4,Missing
3,5,1,0.5,5,Missing
3,5,1,0.5,6,Missing
3,5,1,0.5,7,Missing
3,5,1,0.5,8,Missing
3,5,1,0.5,9,Missing
3,5,1,0.5,10,Missing
4,2,-1,0.5,1,Completed
4,2,-1,0.5,2,Completed
4,2,-1,0.5,3,Completed
4,2,-1,0.5,4,Completed
4,2,-1,0.5,5,Completed
4,2,-1,0.5,6,Completed
4,2,-1,0.5,7,Completed
4,2,-1,0.5,8,Completed
4,2,-1,0.5,9,Completed
4,2,-1,0.5,10,Completed
4,2,1,0.5,1,Missing
4,2,1,0.5,2,Missing
4,2,1,0.5,3,Missing
4,2,1,0.5,4,Missing
4,2,1,0.5,5,Missing
4,2,1,0.5,6,Missing
4,2,1,0.5,7,Missing
4,2,1,0.5,8,Missing
4,2,1,0.5,9,Missing
4,2,1,0.5,10,Missing
4,3,-1,0.5,1,Completed
4,3,-1,0.5,2,Completed
4,3,-1,0.5,3,Completed
4,3,-1,0.5,4,Completed
4,3,-1,0.5,5,Completed
4,3,-1,0.5,6,Completed
4,3,-1,0.5,7,Completed
4,3,-1,0.5,8,Completed
4,3,-1,0.5,9,Completed
4,3,-1,0.5,10,Completed
4,3,1,0.5,1,Completed
4,3,1,0.5,2,Completed
4,3,1,0.5,3,Completed
4,3,1,0.5,4,Completed
4,3,1,0.5,5,Completed
4,3,1,0.5,6,Completed
4,3,1,0.5,7,Completed
4,3,1,0.5,8,Completed
4,3,1,0.5,9,Completed
4,3,1,0.5,10,Completed
4,4,-1,0.5,1,Missing
4,4,-1,0.5,2,Missing
4,4,-1,0.5,3,Missing
4,4,-1,0.5,4,Missing
4,4,-1,0.5,5,Missing
4,4,-1,0.5,6,Missing
4,4,-1,0.5,7,Missing
4,4,-1,0.5,8,Missing
4,4,-1,0.5,9,Missing
4,4,-1,0.5,10,Missing
4,4,1,0.5,1,Missing
4,4,1,0.5,2,Missing
4,4,1,0.5,3,Missing
4,4,1,0.5,4,Missing
4,4,1,0.5,5,Missing
4,4,1,0.5,6,Missing
4,4,1,0.5,7,Missing
4,4,1,0.5,8,Missing
4,4,1,0.5,9,Missing
4,4,1,0.5,10,Missing
4,5,-1,0.5,1,Missing
4,5,-1,0.5,2,Missing
4,5,-1,0.5,3,Missing
4,5,-1,0.5,4,Missing
4,5,-1,0.5,5,Missing
4,5,-1,0.5,6,Missing
4,5,-1,0.5,7,Missing
4,5,-1,0.5,8,Missing
4,5,-1,0.5,9,Missing
4,5,-1,0.5,10,Missing
4,5,1,0.5,1,Missing
4,5,1,0.5,2,Missing
4,5,1,0.5,3,Missing
4,5,1,0.5,4,Missing
4,5,1,0.5,5,Missing
4,5,1,0.5,6,Missing
4,5,1,0.5,7,Missing
4,5,1,0.5,8,Missing
4,5,1,0.5,9,Missing
4,5,1,0.5,10,Missing
5,2,-1,0.5,1,Missing
5,2,-1,0.5,2,Missing
5,2,-1,0.5,3,Missing
5,2,-1,0.5,4,Missing
5,2,-1,0.5,5,Missing
5,2,-1,0.5,6,Missing
5,2,-1,0.5,7,Missing
5,2,-1,0.5,8,Missing
5,2,-1,0.5,9,Missing
5,2,-1,0.5,10,Missing
5,2,1,0.5,1,Completed
5,2,1,0.5,2,Completed
5,2,1,0.5,3,Completed
5,2,1,0.5,4,Completed
5,2,1,0.5,5,Completed
5,2,1,0.5,6,Completed
5,2,1,0.5,7,Completed
5,2,1,0.5,8,Completed
5,2,1,0.5,9,Completed
5,2,1,0.5,10,Completed
5,3,-1,0.5,1,Missing
5,3,-1,0.5,2,Missing
5,3,-1,0.5,3,Missing
5,3,-1,0.5,4,Missing
5,3,-1,0.5,5,Missing
5,3,-1,0.5,6,Missing
5,3,-1,0.5,7,Missing
5,3,-1,0.5,8,Missing
5,3,-1,0.5,9,Missing
5,3,-1,0.5,10,Missing
5,3,1,0.5,1,Completed
5,3,1,0.5,2,Completed
5,3,1,0.5,3,Missing
5,3,1,0.5,4,Missing
5,3,1,0.5,5,Missing
5,3,1,0.5,6,Missing
5,3,1,0.5,7,Missing
5,3,1,0.5,8,Missing
5,3,1,0.5,9,Missing
5,3,1,0.5,10,Missing
5,4,-1,0.5,1,Missing
5,4,-1,0.5,2,Missing
5,4,-1,0.5,3,Missing
5,4,-1,0.5,4,Missing
5,4,-1,0.5,5,Missing
5,4,-1,0.5,6,Missing
5,4,-1,0.5,7,Missing
5,4,-1,0.5,8,Missing
5,4,-1,0.5,9,Missing
5,4,-1,0.5,10,Missing
5,4,1,0.5,1,Missing
5,4,1,0.5,2,Missing
5,4,1,0.5,3,Missing
5,4,1,0.5,4,Missing
5,4,1,0.5,5,Missing
5,4,1,0.5,6,Missing
5,4,1,0.5,7,Missing
5,4,1,0.5,8,Missing
5,4,1,0.5,9,Missing
5,4,1,0.5,10,Missing
5,5,-1,0.5,1,Missing
5,5,-1,0.5,2,Missing
5,5,-1,0.5,3,Missing
5,5,-1,0.5,4,Missing
5,5,-1,0.5,5,Missing
5,5,-1,0.5,6,Missing
5,5,-1,0.5,7,Missing
5,5,-1,0.5,8,Missing
5,5,-1,0.5,9,Missing
5,5,-1,0.5,10,Missing
5,5,1,0.5,1,Missing
5,5,1,0.5,2,Missing
5,5,1,0.5,3,Missing
5,5,1,0.5,4,Missing
5,5,1,0.5,5,Missing
5,5,1,0.5,6,Missing
5,5,1,0.5,7,Missing
5,5,1,0.5,8,Missing
5,5,1,0.5,9,Missing
5,5,1,0.5,10,Missing
2,2,-1,2.0,1,Completed
2,2,-1,2.0,2,Completed
2,2,-1,2.0,3,Completed
2,2,-1,2.0,4,Completed
2,2,-1,2.0,5,Completed
2,2,-1,2.0,6,Completed
2,2,-1,2.0,7,Completed
2,2,-1,2.0,8,Completed
2,2,-1,2.0,9,Completed
2,2,-1,2.0,10,Completed
2,2,1,2.0,1,Completed
2,2,1,2.0,2,Completed
2,2,1,2.0,3,Completed
2,2,1,2.0,4,Completed
2,2,1,2.0,5,Completed
2,2,1,2.0,6,Completed
2,2,1,2.0,7,Completed
2,2,1,2.0,8,Completed
2,2,1,2.0,9,Completed
2,2,1,2.0,10,Completed
2,3,-1,2.0,1,Completed
2,3,-1,2.0,2,Completed
2,3,-1,2.0,3,Completed
2,3,-1,2.0,4,Completed
2,3,-1,2.0,5,Completed
2,3,-1,2.0,6,Completed
2,3,-1,2.0,7,Completed
2,3,-1,2.0,8,Completed
2,3,-1,2.0,9,Completed
2,3,-1,2.0,10,Completed
2,3,1,2.0,1,Completed
2,3,1,2.0,2,Completed
2,3,1,2.0,3,Completed
2,3,1,2.0,4,Completed
2,3,1,2.0,5,Completed
2,3,1,2.0,6,Completed
2,3,1,2.0,7,Completed
2,3,1,2.0,8,Completed
2,3,1,2.0,9,Completed
2,3,1,2.0,10,Completed
2,4,-1,2.0,1,Completed
2,4,-1,2.0,2,Completed
2,4,-1,2.0,3,Completed
2,4,-1,2.0,4,Completed
2,4,-1,2.0,5,Completed
2,4,-1,2.0,6,Completed
2,4,-1,2.0,7,Completed
2,4,-1,2.0,8,Completed
2,4,-1,2.0,9,Completed
2,4,-1,2.0,10,Completed
2,4,1,2.0,1,Completed
2,4,1,2.0,2,Completed
2,4,1,2.0,3,Completed
2,4,1,2.0,4,Completed
2,4,1,2.0,5,Completed
2,4,1,2.0,6,Completed
2,4,1,2.0,7,Completed
2,4,1,2.0,8,Completed
2,4,1,2.0,9,Completed
2,4,1,2.0,10,Completed
2,5,-1,2.0,1,Missing
2,5,-1,2.0,2,Missing
2,5,-1,2.0,3,Missing
2,5,-1,2.0,4,Missing
2,5,-1,2.0,5,Missing
2,5,-1,2.0,6,Missing
2,5,-1,2.0,7,Missing
2,5,-1,2.0,8,Missing
2,5,-1,2.0,9,Missing
2,5,-1,2.0,10,Missing
2,5,1,2.0,1,Missing
2,5,1,2.0,2,Missing
2,5,1,2.0,3,Missing
2,5,1,2.0,4,Missing
2,5,1,2.0,5,Missing
2,5,1,2.0,6,Missing
2,5,1,2.0,7,Missing
2,5,1,2.0,8,Missing
2,5,1,2.0,9,Missing
2,5,1,2.0,10,Missing
3,2,-1,2.0,1,Missing
3,2,-1,2.0,2,Missing
3,2,-1,2.0,3,Missing
3,2,-1,2.0,4,Missing
3,2,-1,2.0,5,Missing
3,2,-1,2.0,6,Missing
3,2,-1,2.0,7,Missing
3,2,-1,2.0,8,Missing
3,2,-1,2.0,9,Missing
3,2,-1,2.0,10,Missing
3,2,1,2.0,1,Missing
3,2,1,2.0,2,Missing
3,2,1,2.0,3,Missing
3,2,1,2.0,4,Missing
3,2,1,2.0,5,Missing
3,2,1,2.0,6,Missing
3,2,1,2.0,7,Missing
3,2,1,2.0,8,Missing
3,2,1,2.0,9,Missing
3,2,1,2.0,10,Missing
3,3,-1,2.0,1,Completed
3,3,-1,2.0,2,Completed
3,3,-1,2.0,3,Missing
3,3,-1,2.0,4,Missing
3,3,-1,2.0,5,Missing
3,3,-1,2.0,6,Missing
3,3,-1,2.0,7,Missing
3,3,-1,2.0,8,Missing
3,3,-1,2.0,9,Missing
3,3,-1,2.0,10,Missing
3,3,1,2.0,1,Missing
3,3,1,2.0,2,Missing
3,3,1,2.0,3,Missing
3,3,1,2.0,4,Missing
3,3,1,2.0,5,Missing
3,3,1,2.0,6,Missing
3,3,1,2.0,7,Missing
3,3,1,2.0,8,Missing
3,3,1,2.0,9,Missing
3,3,1,2.0,10,Missing
3,4,-1,2.0,1,Missing
3,4,-1,2.0,2,Missing
3,4,-1,2.0,3,Missing
3,4,-1,2.0,4,Missing
3,4,-1,2.0,5,Missing
3,4,-1,2.0,6,Missing
3,4,-1,2.0,7,Missing
3,4,-1,2.0,8,Missing
3,4,-1,2.0,9,Missing
3,4,-1,2.0,10,Missing
3,4,1,2.0,1,Missing
3,4,1,2.0,2,Missing
3,4,1,2.0,3,Missing
3,4,1,2.0,4,Missing
3,4,1,2.0,5,Missing
3,4,1,2.0,6,Missing
3,4,1,2.0,7,Missing
3,4,1,2.0,8,Missing
3,4,1,2.0,9,Missing
3,4,1,2.0,10,Missing
3,5,-1,2.0,1,Missing
3,5,-1,2.0,2,Missing
3,5,-1,2.0,3,Missing
3,5,-1,2.0,4,Missing
3,5,-1,2.0,5,Missing
3,5,-1,2.0,6,Missing
3,5,-1,2.0,7,Missing
3,5,-1,2.0,8,Missing
3,5,-1,2.0,9,Missing
3,5,-1,2.0,10,Missing
3,5,1,2.0,1,Missing
3,5,1,2.0,2,Missing
3,5,1,2.0,3,Missing
3,5,1,2.0,4,Missing
3,5,1,2.0,5,Missing
3,5,1,2.0,6,Missing
3,5,1,2.0,7,Missing
3,5,1,2.0,8,Missing
3,5,1,2.0,9,Missing
3,5,1,2.0,10,Missing
4,2,-1,2.0,1,Missing
4,2,-1,2.0,2,Missing
4,2,-1,2.0,3,Missing
4,2,-1,2.0,4,Missing
4,2,-1,2.0,5,Missing
4,2,-1,2.0,6,Missing
4,2,-1,2.0,7,Missing
4,2,-1,2.0,8,Missing
4,2,-1,2.0,9,Missing
4,2,-1,2.0,10,Missing
4,2,1,2.0,1,Missing
4,2,1,2.0,2,Missing
4,2,1,2.0,3,Missing
4,2,1,2.0,4,Missing
4,2,1,2.0,5,Missing
4,2,1,2.0,6,Missing
4,2,1,2.0,7,Missing
4,2,1,2.0,8,Missing
4,2,1,2.0,9,Missing
4,2,1,2.0,10,Missing
4,3,-1,2.0,1,Missing
4,3,-1,2.0,2,Missing
4,3,-1,2.0,3,Missing
4,3,-1,2.0,4,Missing
4,3,-1,2.0,5,Missing
4,3,-1,2.0,6,Missing
4,3,-1,2.0,7,Missing
4,3,-1,2.0,8,Missing
4,3,-1,2.0,9,Missing
4,3,-1,2.0,10,Missing
4,3,1,2.0,1,Missing
4,3,1,2.0,2,Missing
4,3,1,2.0,3,Missing
4,3,1,2.0,4,Missing
4,3,1,2.0,5,Missing
4,3,1,2.0,6,Missing
4,3,1,2.0,7,Missing
4,3,1,2.0,8,Missing
4,3,1,2.0,9,Missing
4,3,1,2.0,10,Missing
4,4,-1,2.0,1,Missing
4,4,-1,2.0,2,Missing
4,4,-1,2.0,3,Missing
4,4,-1,2.0,4,Missing
4,4,-1,2.0,5,Missing
4,4,-1,2.0,6,Missing
